epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.6179,1.43879,2.75132,1.81691,0.86433,0.69231,0.87533,0.46435,1.38895,3.80657,2.63355,4e-05,4e-05,4e-05
2,16.9539,1.5197,2.57098,1.90688,0.92184,0.90829,0.94371,0.60288,1.22058,3.65263,2.31243,9.901e-05,9.901e-05,9.901e-05
3,24.2166,1.45668,2.46274,1.93234,0.98586,1,0.995,0.63482,1.07229,6.30928,2.00859,0.000156832,0.000156832,0.000156832
4,31.5771,1.23141,1.75168,1.65862,1,0.99099,0.995,0.69784,1.01538,3.85821,1.93528,0.000213466,0.000213466,0.000213466
5,38.8925,1.21454,1.4872,1.4944,0.89492,0.92308,0.93512,0.65136,1.11868,2.07944,2.17475,0.000268912,0.000268912,0.000268912
6,46.0405,1.10721,1.27357,1.42743,0.8587,1,0.92767,0.5922,1.23776,3.24294,2.46954,0.00032317,0.00032317,0.00032317
7,53.0885,1.01909,1.09743,1.35383,0.99007,1,0.995,0.63986,1.31812,2.94576,2.66446,0.00037624,0.00037624,0.00037624
8,60.1027,1.04862,1.11241,1.41688,0.9988,1,0.995,0.65193,1.18339,2.38798,2.44985,0.000428122,0.000428122,0.000428122
9,67.1477,1.03078,1.13945,1.43639,0.75576,1,0.88431,0.51951,1.12529,3.59644,2.30609,0.000478816,0.000478816,0.000478816
10,74.1567,1.00696,1.02301,1.39275,0.81309,0.76923,0.82031,0.37161,1.30886,3.21656,2.50684,0.000528322,0.000528322,0.000528322
11,81.2353,1.01544,0.87166,1.38973,0.79918,0.84615,0.88754,0.4823,1.23769,4.33016,2.52109,0.00057664,0.00057664,0.00057664
12,88.2341,1.12316,0.97133,1.41609,0.83429,0.84615,0.90648,0.57574,1.16484,2.7473,2.40068,0.00062377,0.00062377,0.00062377
13,95.3316,1.0743,0.83545,1.3933,0.83625,0.84615,0.9427,0.52915,1.40441,1.81749,3.04199,0.000669712,0.000669712,0.000669712
14,102.409,1.05491,0.80461,1.37108,0.99061,0.92308,0.97556,0.48737,1.46832,1.40456,2.89436,0.000714466,0.000714466,0.000714466
15,109.464,1.12444,0.97588,1.4577,0.71013,0.76923,0.73525,0.32274,1.95297,1.80174,3.05885,0.000758032,0.000758032,0.000758032
16,116.498,1.02456,0.93553,1.35527,0.32691,0.76923,0.33918,0.16523,1.88275,2.06965,3.22182,0.00080041,0.00080041,0.00080041
17,123.393,1.18432,0.93409,1.51209,0.74953,0.92308,0.91884,0.55219,1.35303,1.01381,2.42561,0.0008416,0.0008416,0.0008416
18,130.47,1.08746,0.93484,1.42841,0.98654,1,0.995,0.51185,1.69103,1.18945,3.08623,0.000881602,0.000881602,0.000881602
19,137.537,0.98874,0.78711,1.30717,0.79984,0.92222,0.91889,0.35768,2.09136,2.15662,3.63136,0.000920416,0.000920416,0.000920416
20,144.397,1.05904,0.95987,1.45201,0.61482,1,0.92172,0.29431,2.17507,2.45358,3.47593,0.000958042,0.000958042,0.000958042
21,151.453,1.04418,0.85758,1.38589,0.86205,0.96273,0.94413,0.38575,1.87861,3.94475,3.9993,0.00099448,0.00099448,0.00099448
